Statistic,Player,Team,Value,Rank,Year
1964 A.L. Team Final Standings,1964 A.L. Team Final Standings,1964 A.L. Team Final Standings,,,1964
Base on Balls,Chicago,562,,,1964
Batting Average,Boston,.258,,,1964
Doubles,Boston,253,,,1964
Hits,New York,1442,,,1964
Home Runs,Minnesota,221,,,1964
On Base Percentage,Minnesota,.324,,,1964
Runs,Minnesota,737,,,1964
Slugging Average,Minnesota,.427,,,1964
Stolen Bases,Cleveland,79,,,1964
Triples,Detroit,57,,,1964
Complete Games,Minnesota,47,,,1964
ERA,Chicago,2.73,,,1964
Fewest Hits Allowed,Chicago,1216,,,1964
Fewest Home Runs Allowed,Los Angeles,100,,,1964
Fewest Walks Allowed,Chicago,401,,,1964
Saves,Chicago,45,,,1964
Saves,New York,45,,,1964
Shutouts,Los Angeles,28,,,1964
Strikeouts,Cleveland,1162,,,1964
Base on Balls,Rocky Colavito,Cleveland,93.0,,1965
Batting Average,Tony Oliva,Minnesota,0.321,,1965
Doubles,Zoilo Versalles,Minnesota,45.0,,1965
Doubles,Carl Yastrzemski,Boston,45.0,,1965
Hits,Tony Oliva,Minnesota,185.0,,1965
Home Runs,Tony Conigliaro,Boston,32.0,,1965
On Base Percentage,Carl Yastrzemski,Boston,0.398,,1965
RBI,Rocky Colavito,Cleveland,108.0,,1965
Runs,Zoilo Versalles,Minnesota,126.0,,1965
Slugging Average,Carl Yastrzemski,Boston,0.536,,1965
Stolen Bases,Bert Campaneris,Kansas City,51.0,,1965
Total Bases,Zoilo Versalles,Minnesota,308.0,,1965
Triples,Bert Campaneris,Kansas City,12.0,,1965
Triples,Zoilo Versalles,Minnesota,12.0,,1965
1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,,,1965
Complete Games,Mel Stottlemyre,New York,18.0,,1965
ERA,Sam McDowell,Cleveland,2.18,,1965
Games,Eddie Fisher,Chicago,82.0,,1965
Saves,Ron Kline,Washington,29.0,,1965
Shutouts,Mudcat Grant,Minnesota,6.0,,1965
Strikeouts,Sam McDowell,Cleveland,325.0,,1965
Winning Percentage,Mudcat Grant,Minnesota,0.75,,1965
Wins,Mudcat Grant,Minnesota,21.0,,1965
1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,,,1965
Team | Roster,Wins,Losses,,,1965
Minnesota Twins,102,60,0.63,0.0,1965
Chicago White Sox,95,67,0.586,7.0,1965
Baltimore Orioles,94,68,0.58,8.0,1965
Detroit Tigers,89,73,0.549,13.0,1965
Cleveland Indians,87,75,0.537,15.0,1965
New York Yankees,77,85,0.475,25.0,1965
California Angels,75,87,0.463,27.0,1965
Washington Senators,70,92,0.432,32.0,1965
Boston Red Sox,62,100,0.383,40.0,1965
Kansas City Athletics,59,103,0.364,43.0,1965
Team | Roster,Wins,Losses,,,1965
1965 American League Team Final Standings,1965 American League Team Final Standings,1965 American League Team Final Standings,,,1965
Base on Balls,Boston,607,,,1965
Batting Average,Minnesota,.254,,,1965
Doubles,Minnesota,257,,,1965
Hits,Minnesota,1396,,,1965
Home Runs,Boston,165,,,1965
On Base Percentage,Boston,.329,,,1965
Runs,Minnesota,774,,,1965
